method,dice_mean_percent,dice_sd_percent,latency_mean_ms,latency_sd_ms,normalized_latency_mean,normalized_latency_sd,local_training_energy_mean_mJ,local_training_energy_sd_mJ,normalized_energy_mean,normalized_energy_sd,final_epsilon_mean,final_epsilon_sd
FP32_noDP,87.19333707338251,0.5791080804448371,1484815.56150779,4486.523465370065,0.9998195316792163,2.5456607754554586e-07,6658345.704126805,8641.70227669226,1.0,0.0,0.0,0.0
FP32_softDP,87.17083779827269,0.31185135179015777,1485083.5711323158,4486.954113831451,1.0,0.0,6658345.704126805,8641.70227669226,1.0,0.0,16.151979715670002,0.6021024132364002
FedBN,86.03748816668073,0.49950438612433024,1485083.5711323158,4486.954113831451,1.0,0.0,6658345.704126805,8641.70227669226,1.0,0.0,16.151979715670002,0.6021024132364002
Mao_etal,87.1860545261063,0.38710579438178694,165343.88594494737,498.933255724752,0.11133641949385253,4.217981279165357e-07,929154.0671610488,1205.926092513805,0.1395472852341032,2.4037033579794548e-17,16.151979715670002,0.6021024132364002
BitFusion,87.40679459151839,0.404732960720216,165075.87632042106,498.50260726335796,0.11115595117306867,1.6723205039300346e-07,390050.30427383754,506.23664679630616,0.058580662766141225,3.469446951953614e-18,0.0,0.0
HMPE-ACF_noDP,87.16728538813724,0.34586273300007975,161446.24573778018,2730.1912359813696,0.10871004811860538,0.0016629157439801852,720144.1487386761,16197.302911926567,0.10815477301859108,0.002321487401128711,0.0,0.0
HMPE-ACF,87.10730782535106,0.3299293983937775,161446.24573778018,2730.1912359813696,0.10871004811860538,0.0016629157439801852,720144.1487386761,16197.302911926567,0.10815477301859108,0.002321487401128711,16.151979715670002,0.6021024132364002
